"id","name","shape","carat","color","clarity","cut","lab","certificate_number","original_price","size","growth_type","depth ","table ","video_url"," certificate_link","image_link"
"809","BULLET  Shape Antique Cut Diamond","BULLET ","0.38","E","VVS2","","NON-CERT","NON-CERT","90.08","3.82*5.07*2.54","HPHT","66.68","67","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924420309&zoomslide=1&z=1924420309&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"810","BULLET  Shape Antique Cut Diamond","BULLET ","0.38","E","VVS2","","NON-CERT","NON-CERT","90.08","4.01*5.10*2.50","HPHT","62.39","71","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924420306&zoomslide=1&z=1924420306&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"811","WIDE TRAPEZOID Shape Antique Cut Diamond","WIDE TRAPEZOID","0.29","E","VS1","","NON-CERT","NON-CERT","53.96","3.55*4.77*2.50","HPHT","70.54","72","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924910664&zoomslide=1&z=1924910664&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"812","WIDE TRAPEZOID Shape Antique Cut Diamond","WIDE TRAPEZOID","0.29","E","VS1","","NON-CERT","NON-CERT","53.96","3.52*4.78*2.39","HPHT","67.95","68","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924910663&zoomslide=1&z=1924910663&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"813","WIDE TRAPEZOID Shape Antique Cut Diamond","WIDE TRAPEZOID","0.29","E","VS1","","NON-CERT","NON-CERT","53.96","3.54*4.79*2.44","HPHT","68.76","64","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924910397&zoomslide=1&z=1924910397&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"814","TAPERED BAGUETTE Shape Antique Cut Diamond","TAPERED BAGUETTE","0.26","F","VS1","EXCELLENT","NON-CERT","NON-CERT","48.38","2.98*5.88*1.77","HPHT","64.5","67","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925860152&zoomslide=1&z=1925860152&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"815","KITE Shape Antique Cut Diamond","KITE","0.51","F","VS1","EXCELLENT","NON-CERT","NON-CERT","162.67","4.27*8.12*2.88","CVD","67.32","57","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926360324&zoomslide=1&z=1926360324&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"816","HEXAGONAL Shape Antique Cut Diamond","HEXAGONAL","0.27","E","VVS2","","NON-CERT","NON-CERT","57.82","3.78*3.78*2.25","HPHT","59.63","63","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924910176&zoomslide=1&z=1924910176&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"817","TRAPEZOID Shape Antique Cut Diamond","TRAPEZOID","0.38","E","VS2","VERY GOOD","NON-CERT","NON-CERT","81.29","3.55*5.38*2.52","HPHT","65.7","65","https://ssdweb.co/ssdweb/hd/Vision360.html?d=926090188&zoomslide=1&z=1926090188&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"818","TRAPEZOID Shape Antique Cut Diamond","TRAPEZOID","0.3","E","VS2","EXCELLENT","NON-CERT","NON-CERT","64.18","3.00*5.19*2.41","CVD","59.4","67","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925530078&zoomslide=1&z=1925530078&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"819","TRAPEZOID Shape Antique Cut Diamond","TRAPEZOID","0.3","E","VS2","EXCELLENT","NON-CERT","NON-CERT","64.18","2.96*5.19*2.36","CVD","60.3","71","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925530032&zoomslide=1&z=1925530032&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"820","TRAPEZOID Shape Antique Cut Diamond","TRAPEZOID","0.3","E","VS2","EXCELLENT","NON-CERT","NON-CERT","64.18","3.02*5.22*2.14","CVD","70.9","66","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925580005&zoomslide=1&z=1925580005&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"821","FLOWER Shape Antique Cut Diamond","FLOWER","0.52","G","VS1","","NON-CERT","NON-CERT","160.62","4.56-4.56*3.22","CVD","70.6","60.8","https://videop.co.in/vision360.html?d=26038","https://www.igi.org/reports/verify-your-report?r=NON-CERT","https://videop.co.in/imaged/26038/26038.jpg"
"822","TRAPEZOID Shape Antique Cut Diamond","TRAPEZOID","0.3","E","SI1","EXCELLENT","NON-CERT","NON-CERT","60.75","3.02*5.24*2.36","CVD","65","74","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925530085&zoomslide=1&z=1925530085&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"823","BULLET  Shape Antique Cut Diamond","BULLET ","0.39","D","VS2","","NON-CERT","NON-CERT","89.9","4.05*5.08*2.55","HPHT","62.91","72","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924460642&zoomslide=1&z=1924460642&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"824","BULLET  Shape Antique Cut Diamond","BULLET ","0.38","E","VS1","","NON-CERT","NON-CERT","87.6","3.94*5.10*2.55","HPHT","64.63","68","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924420308&zoomslide=1&z=1924420308&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"825","BULLET  Shape Antique Cut Diamond","BULLET ","0.38","E","VS1","VERY GOOD","NON-CERT","NON-CERT","87.6","3.89*5.01*2.47","HPHT","64","70","https://ssdweb.co/ssdweb/hd/Vision360.html?d=925960458&zoomslide=1&z=1925960458&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
"826","BULLET  Shape Antique Cut Diamond","BULLET ","0.38","E","VS1","VERY GOOD","NON-CERT","NON-CERT","87.6","3.70*5.88*2.50","CVD","67.68","73","https://ssdweb.co/ssdweb/hd/Vision360.html?d=924950383&zoomslide=1&z=1924950383&ISCONFIRM=0","https://www.igi.org/reports/verify-your-report?r=NON-CERT",""
