"id","name","shape","original_price","mrp","carat","cut","color","clarity","images","size","l_w_ratio","table ","sku","lab","certificate_number","video_url","certificate_link","growth_type"
"6440","Round Diamond","ROUND","1343.1","1843.1","3","EXCELLENT","F","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.17-9.24*5.68","61.7","59","ROU57","IGI","631469692","https://mglgd.com/Media/viewer3/Vision360.html?d=L28918","https://www.igi.org/reports/verify-your-report?r=631469692","CVD"
"6441","Round Diamond","ROUND","1001.58","1501.58","3.01","VERY GOOD","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.15-9.18*5.57","60.7","65","ROU11","IGI","632420251","https://mglgd.com/Media/viewer3/Vision360.html?d=L31112","https://www.igi.org/reports/verify-your-report?r=632420251","CVD"
"6442","Round Diamond","ROUND","1001.58","1501.58","3.01","VERY GOOD","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.30-9.35*5.46","58.5","65","ROU55","IGI","633434994","https://mglgd.com/Media/viewer3/Vision360.html?d=L31939","https://www.igi.org/reports/verify-your-report?r=633434994","CVD"
"6443","Round Diamond","ROUND","998.25","1498.25","3","GOOD","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.00-9.08*5.66","62.4","64","ROU64","IGI","632420256","https://mglgd.com/Media/viewer3/Vision360.html?d=L31125","https://www.igi.org/reports/verify-your-report?r=632420256","CVD"
"6444","Round Diamond","ROUND","998.25","1498.25","3","EXCELLENT","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.28-9.32*5.51","59.2","63","ROU37","IGI","633434985","https://mglgd.com/Media/viewer3/Vision360.html?d=L31947","https://www.igi.org/reports/verify-your-report?r=633434985","CVD"
"6445","Round Diamond","ROUND","998.25","1498.25","3","VERY GOOD","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.05-9.14*5.64","62","61","ROU85","IGI","634417290","https://mglgd.com/Media/viewer3/Vision360.html?d=L32354","https://www.igi.org/reports/verify-your-report?r=634417290","CVD"
"6446","Round Diamond","ROUND","998.25","1498.25","3","EXCELLENT","F","VS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.23-9.33*5.58","60.1","59","ROU56","IGI","635470928","https://mglgd.com/Media/viewer3/Vision360.html?d=L32848","https://www.igi.org/reports/verify-your-report?r=635470928","CVD"
"6447","Round Diamond","ROUND","1158.7","1658.7","3.04","VERY GOOD","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.05-9.09*5.74","63.3","63","ROU75","IGI","629418901","https://mglgd.com/Media/viewer3/Vision360.html?d=L28284","https://www.igi.org/reports/verify-your-report?r=629418901","CVD"
"6448","Princess Diamond","PRINCESS","1640.03","2140.03","5.02","","I","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/princess.png","9.49-9.18*6.18","67.3","71.5","PRI84","IGI","576321712","https://mglgd.com/Media/viewer3/Vision360.html?d=L0064","https://www.igi.org/reports/verify-your-report?r=576321712","CVD"
"6449","Round Diamond","ROUND","3164.07","3664.07","4.94","GOOD","E","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","11.07 - 11.04 * 6.49","58.7","59","ROU33","IGI","653411539","","https://www.igi.org/reports/verify-your-report?r=653411539","CVD"
"6450","Oval Cut Diamond","OVAL","1842.69","2342.69","4.72","","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.69 - 9.32 * 5.81","62.3","58","OVA23","IGI","618499835","https://v360.in/V360Images.aspx?cid=vd&d=CVD462-51D","https://www.igi.org/reports/verify-your-report?r=618499835","CVD"
"6451","Oval Cut Diamond","OVAL","1585.02","2085.02","4.06","","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","13.14 - 8.9 * 5.49","61.7","60","OVA30","IGI","640429081","","https://www.igi.org/reports/verify-your-report?r=640429081","CVD"
"6452","Oval Cut Diamond","OVAL","1581.12","2081.12","4.05","","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","12.85 - 9.01 * 5.64","62.6","58","OVA95","IGI","618499837","https://v360.in/V360Images.aspx?cid=vd&d=LLP1-29A","https://www.igi.org/reports/verify-your-report?r=618499837","CVD"
"6453","Oval Cut Diamond","OVAL","1573.31","2073.31","4.03","","G","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","12.95 - 8.95 * 5.6","62.6","58","OVA86","IGI","640429059","","https://www.igi.org/reports/verify-your-report?r=640429059","CVD"
"6454","Round Diamond","ROUND","2581.22","3081.22","4.03","VERY GOOD","E","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.25 - 10.17 * 6.23","61","58","ROU41","IGI","653411521","","https://www.igi.org/reports/verify-your-report?r=653411521","CVD"
"6455","Round Diamond","ROUND","2581.22","3081.22","4.03","IDEAL","E","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.26 - 10.21 * 6.29","61.5","58","ROU14","IGI","653411520","","https://www.igi.org/reports/verify-your-report?r=653411520","CVD"
"6456","Round Diamond","ROUND","2574.81","3074.81","4.02","VERY GOOD","E","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.42 - 10.35 * 6.11","58.9","59","ROU50","IGI","653411515","","https://www.igi.org/reports/verify-your-report?r=653411515","CVD"
"6457","Round Diamond","ROUND","2574.81","3074.81","4.02","IDEAL","E","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.3 - 10.26 * 6.19","60.2","58","ROU32","IGI","642405856","https://v360.in/V360Images.aspx?cid=vd&d=CD510-43D","https://www.igi.org/reports/verify-your-report?r=642405856","CVD"
"6458","Round Diamond","ROUND","2568.41","3068.41","4.01","VERY GOOD","E","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","10.29 - 10.23 * 6.24","60.8","59","ROU54","IGI","653411510","","https://www.igi.org/reports/verify-your-report?r=653411510","CVD"
"6459","Round Diamond","ROUND","878.4","1378.4","3.2","IDEAL","H","VVS2","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/round.png","9.53 - 9.48 * 5.79","60.9","60","ROU67","IGI","591344275","https://v360.in/V360Images.aspx?cid=vd&d=CVD299-209A","https://www.igi.org/reports/verify-your-report?r=591344275","CVD"
"6460","Emerald Diamond","EMERALD","1130.94","1630.94","3.09","","D","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","9.74 - 6.89 * 4.7","68.2","64","EME57","IGI","632438529","https://v360.in/V360Images.aspx?cid=vd&d=CD268-80","https://www.igi.org/reports/verify-your-report?r=632438529","CVD"
"6461","Oval Cut Diamond","OVAL","1116.3","1616.3","3.05","","D","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","11.53 - 8.28 * 5.14","62.1","60","OVA24","IGI","645418976","","https://www.igi.org/reports/verify-your-report?r=645418976","CVD"
"6462","Oval Cut Diamond","OVAL","1116.3","1616.3","3.05","","D","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","11.55 - 8.14 * 5.09","62.5","63","OVA60","IGI","640428778","","https://www.igi.org/reports/verify-your-report?r=640428778","CVD"
"6463","Oval Cut Diamond","OVAL","1116.3","1616.3","3.05","","D","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/oval.png","11.38 - 8.12 * 5.23","64.4","59","OVA76","IGI","647412719","","https://www.igi.org/reports/verify-your-report?r=647412719","CVD"
"6464","L CUSHION Diamond","CUSHION","1116.3","1616.3","3.05","","D","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/cushion.png","9.8 - 7.84 * 5.21","66.5","59","L C49","IGI","633467069","https://v360.in/V360Images.aspx?cid=vd&d=CD315-7","https://www.igi.org/reports/verify-your-report?r=633467069","CVD"
"6465","Emerald Diamond","EMERALD","1108.98","1608.98","3.03","","D","VS1","https://bhalinfotech-in-01-2025.s3.us-east-1.amazonaws.com/emerald.png","9.59 - 6.91 * 4.6","66.6","66","EME29","IGI","632438505","https://v360.in/V360Images.aspx?cid=vd&d=CD272-38A","https://www.igi.org/reports/verify-your-report?r=632438505","CVD"
